,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
124,534.00390625,682.75,6143.375,1504.44921875,3063.3828125,7727556.5,667.9375,747.7578125,886.78125,899.125,1494.734375,8876093.0,2545.5,1788.17578125,1874.5,2994.40625,1525.53125,2410467.25
125,540.12890625,688.71875,6192.125,1521.44921875,3087.7578125,7790002.0,673.3125,754.9140625,894.34375,907.125,1510.046875,8946774.0,2568.875,1803.67578125,1889.75,3013.15625,1538.34375,2429820.75
126,546.97265625,694.3125,6234.625,1537.69921875,3112.7578125,7852402.0,677.5,760.8828125,902.46875,915.875,1521.171875,9017274.0,2593.5,1817.05078125,1904.6875,3035.40625,1553.09375,2449280.0
127,552.44140625,699.65625,6285.125,1554.69921875,3136.5078125,7915271.0,682.625,767.7890625,910.59375,923.28125,1535.609375,9087709.0,2616.125,1832.80078125,1918.1875,3064.90625,1565.46875,2468672.25
128,556.05078125,704.84375,6327.125,1567.13671875,3163.1328125,7978610.0,688.46875,774.1953125,920.65625,931.53125,1549.109375,9158197.0,2639.625,1846.48828125,1935.8125,3081.90625,1577.59375,2487954.5
129,556.34765625,709.71875,6367.125,1581.19921875,3190.2578125,8041779.0,693.9375,780.1328125,928.53125,938.90625,1561.546875,9228573.0,2664.5,1858.42578125,1948.75,3094.59375,1588.46875,2507387.75
130,561.84765625,716.5625,6430.375,1590.51171875,3212.7578125,8104921.0,700.46875,785.2890625,933.4375,944.09375,1565.671875,9298639.0,2676.5,1871.86328125,1963.375,3119.84375,1600.28125,2526843.5
131,566.22265625,720.96875,6469.375,1604.76171875,3238.5078125,8167815.5,705.6875,790.7578125,941.03125,952.46875,1582.421875,9368424.0,2702.25,1886.98828125,1977.1875,3142.34375,1610.96875,2546171.25
132,569.41015625,725.125,6515.125,1618.01171875,3265.6328125,8231156.0,709.640625,797.7265625,947.65625,959.9375,1594.734375,9438449.0,2723.25,1899.92578125,1993.9375,3154.96875,1624.28125,2565520.25
133,575.03515625,732.1875,6572.625,1627.13671875,3288.0078125,8294333.5,716.359375,804.4140625,953.09375,965.75,1598.609375,9508098.0,2736.125,1913.55078125,2009.5,3176.71875,1635.90625,2584987.5
134,577.09765625,737.53125,6622.375,1641.51171875,3314.7578125,8357235.0,721.140625,811.5703125,961.46875,973.21875,1612.734375,9577978.0,2759.125,1928.98828125,2027.5,3205.21875,1648.34375,2604384.0
