,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
168,17664.0,20736.0,28672.0,6912.0,11584.0,26214400.0,1032.0,1568.0,5888.0,3344.0,10496.0,22413312.0,11392.0,5984.0,9984.0,12288.0,14784.0,5603328.0
169,17920.0,20736.0,28928.0,6944.0,11584.0,26345472.0,1040.0,1584.0,5920.0,3360.0,10560.0,22544384.0,11456.0,5984.0,9984.0,12352.0,14848.0,5636096.0
170,18176.0,20736.0,29184.0,7008.0,11648.0,26476544.0,1048.0,1600.0,5952.0,3360.0,10624.0,22675456.0,11584.0,5984.0,10048.0,12288.0,14848.0,5668864.0
171,18176.0,20992.0,29312.0,7072.0,11712.0,26607616.0,1056.0,1616.0,6016.0,3392.0,10688.0,22806528.0,11648.0,6016.0,10112.0,12288.0,14912.0,5701632.0
172,18176.0,20992.0,29440.0,7072.0,11712.0,26738688.0,1064.0,1616.0,6016.0,3440.0,10688.0,22937600.0,11712.0,6080.0,10176.0,12480.0,15040.0,5734400.0
173,18432.0,21120.0,29568.0,7136.0,11840.0,26869760.0,1064.0,1640.0,6048.0,3440.0,10752.0,23068672.0,11776.0,6080.0,10304.0,12416.0,15104.0,5767168.0
174,18560.0,21248.0,29696.0,7200.0,11968.0,27000832.0,1072.0,1656.0,6080.0,3456.0,10880.0,23199744.0,11840.0,6112.0,10304.0,12416.0,15168.0,5799936.0
175,18560.0,21248.0,29824.0,7200.0,12032.0,27131904.0,1080.0,1648.0,6080.0,3488.0,10880.0,23330816.0,11904.0,6176.0,10368.0,12544.0,15296.0,5832704.0
176,18560.0,21248.0,29952.0,7200.0,12096.0,27262976.0,1088.0,1648.0,6112.0,3520.0,10880.0,23461888.0,11968.0,6240.0,10496.0,12736.0,15424.0,5865472.0
177,18688.0,21632.0,30208.0,7232.0,12096.0,27394048.0,1096.0,1672.0,6144.0,3536.0,10944.0,23592960.0,12032.0,6272.0,10560.0,12800.0,15488.0,5898240.0
